fecha,consumo_total,generacion_total,precio_kwh,precio_excedente
2021-08-22 23:00:00,6.47331145096661,0.0,0.12379000000000001,0.09086
2021-08-23 00:00:00,5.970339481803205,0.0,0.12257,0.08934
2021-08-23 01:00:00,5.289354186525716,0.0,0.12007,0.08654
2021-08-23 02:00:00,4.589870008389005,0.0,0.11986,0.0864
2021-08-23 03:00:00,4.331232027844399,0.0,0.11995,0.08568
2021-08-23 04:00:00,4.104829833605997,0.0,0.11998,0.08568
2021-08-23 05:00:00,3.925504638382049,0.0,0.12002,0.08637
2021-08-23 06:00:00,3.9190884941544675,0.0763096181302918,0.12437999999999999,0.08990000000000001
2021-08-23 07:00:00,4.50828881455607,2.8225660552105514,0.14325,0.11079
2021-08-23 08:00:00,4.676775985172045,9.597957937656656,0.18044,0.11439
2021-08-23 09:00:00,5.26465574323212,16.958174938641786,0.17757,0.11395999999999999
2021-08-23 10:00:00,6.0469906657013786,22.198918996634383,0.26294,0.10675
2021-08-23 11:00:00,6.401332047494357,25.566135986904534,0.25871,0.10319
2021-08-23 12:00:00,6.265813780865873,27.073731470439004,0.25446,0.09912
2021-08-23 13:00:00,7.3523164743198235,27.677405856812637,0.24791999999999997,0.0937
2021-08-23 14:00:00,7.454548416307938,25.175025726541055,0.15730000000000002,0.0958
2021-08-23 15:00:00,6.821633609432204,21.544677257396227,0.15585,0.09362000000000001
2021-08-23 16:00:00,7.132226387977707,16.016505474946104,0.15236000000000002,0.09075
2021-08-23 17:00:00,7.164176176774231,9.215933188742733,0.15718000000000001,0.09473999999999999
2021-08-23 18:00:00,6.593532331323939,2.6180294225114595,0.26289999999999997,0.10475
2021-08-23 19:00:00,7.067529570627328,0.002680234523823658,0.27554,0.11389
2021-08-23 20:00:00,7.224434700456545,0.0,0.27667,0.11398
2021-08-23 21:00:00,8.101966246451445,0.0,0.2787,0.11535
2021-08-23 22:00:00,8.417000514556422,0.0,0.18387,0.11399
2021-08-23 23:00:00,7.211281038532937,0.0,0.16949,0.09977
2021-08-24 00:00:00,5.961824619401162,0.0,0.1154,0.08572
2021-08-24 01:00:00,4.850775490740114,0.0,0.11485,0.08558
2021-08-24 02:00:00,4.4834771186506455,0.0,0.11434,0.08491
2021-08-24 03:00:00,4.213624995777496,0.0,0.11426,0.08466
2021-08-24 04:00:00,3.997034193491083,0.0,0.11387,0.08424
2021-08-24 05:00:00,3.730373398883415,0.0,0.11575,0.08546
2021-08-24 06:00:00,3.959286457244299,0.07465441208113144,0.11767,0.08587
2021-08-24 07:00:00,4.119001735481651,2.7834661538733085,0.12013,0.08979999999999999
